size, ij, ji, ij blk, intrins, intr2
16, 4.825336, 5.435566, 7.571370, 4.136002, 3.469270
24, 2.908009, 3.596087, 3.224424, 2.044144, 1.953740
32, 2.471996, 3.438193, 2.949444, 2.480471, 2.161231
40, 2.876669, 4.104361, 2.936336, 1.685138, 1.403077
48, 2.547647, 3.067472, 2.718411, 1.371134, 1.445215
56, 2.387415, 2.892941, 2.475974, 1.402191, 1.292414
64, 3.411354, 2.767929, 2.464933, 1.526987, 1.519218
72, 2.147942, 2.335447, 2.467706, 1.361647, 1.328164
80, 2.197279, 2.339214, 2.396169, 1.333917, 1.186558
88, 1.971713, 2.369941, 2.347900, 1.281725, 1.269771
96, 2.004592, 2.111320, 2.291501, 1.227366, 1.267859
104, 1.980873, 2.271077, 2.215978, 1.142359, 1.167768
112, 2.007116, 2.265184, 2.192768, 1.178256, 1.160728
120, 1.938873, 2.159460, 2.258101, 1.141908, 1.133270
128, 8.113620, 3.799811, 2.603718, 2.104022, 2.089013
136, 1.878316, 2.071794, 2.274969, 1.255808, 1.150701
144, 2.027542, 2.129387, 2.352608, 1.420382, 1.324536
152, 2.084686, 2.087065, 2.405734, 1.380107, 1.282315
160, 5.535576, 2.925035, 2.546014, 1.799161, 1.764807
168, 2.105234, 2.188258, 2.620088, 1.363344, 1.348481
176, 2.235548, 2.074165, 2.707743, 1.484575, 1.440120
184, 2.208841, 2.153984, 2.688378, 1.446043, 1.414940
192, 5.623830, 3.029411, 2.806225, 1.871026, 1.900847
200, 2.242102, 2.204566, 2.670185, 1.394325, 1.370676
208, 2.604343, 2.175189, 2.731925, 1.541823, 1.546437
216, 2.306181, 2.194632, 2.715977, 1.406477, 1.403067
224, 5.676106, 3.039330, 2.886196, 1.853464, 1.867647
232, 2.234311, 2.118914, 2.680797, 1.352250, 1.362247
240, 3.794826, 2.224401, 2.793547, 1.730290, 1.742796
248, 2.338568, 2.103573, 2.698586, 1.418813, 1.373564
256, 9.661398, 5.105951, 4.222390, 2.610825, 2.626275
264, 2.270155, 2.082415, 2.686149, 1.349093, 1.322154
272, 5.055922, 2.731723, 2.967431, 1.837102, 1.822322
280, 2.249262, 2.089301, 2.682502, 1.384996, 1.365697
288, 5.630361, 3.044418, 2.838636, 1.851686, 1.833654
296, 2.310331, 2.099575, 2.695161, 1.400542, 1.382646
304, 5.666554, 2.985944, 2.839381, 1.848501, 1.934523
312, 2.353843, 2.027413, 2.702712, 1.447362, 1.455149
320, 6.255816, 3.256395, 3.071688, 2.056361, 1.957990
328, 2.325857, 1.979378, 2.694869, 1.467875, 1.468574
336, 5.630519, 2.944191, 2.830417, 1.841708, 1.835251
344, 2.379778, 1.960417, 2.716875, 1.521400, 1.538220
352, 5.615744, 3.032144, 2.886007, 1.828658, 1.824199
360, 2.363127, 2.016733, 2.698226, 1.539375, 1.536339
368, 5.685011, 2.947543, 2.837998, 1.851368, 1.837354
376, 2.370568, 1.935899, 2.701369, 1.591060, 1.590856
384, 8.586379, 4.870224, 3.680900, 2.346081, 2.359971
392, 2.461459, 1.933566, 2.726365, 1.662636, 1.672406
400, 5.681900, 2.935052, 2.823601, 1.825229, 1.818792
408, 2.441979, 1.942096, 2.801633, 1.691685, 1.765684
416, 5.580417, 2.986639, 2.824386, 1.890770, 1.816848
424, 2.455096, 1.957711, 2.758300, 1.684148, 1.675250
432, 5.656585, 2.946623, 2.835028, 1.853771, 1.847183
440, 2.423810, 1.963255, 2.739478, 1.660617, 1.658376
448, 6.577094, 3.505059, 3.213076, 1.978188, 1.974786
456, 2.596950, 2.027366, 2.753356, 1.666012, 1.654437
464, 5.626815, 2.951245, 2.841733, 1.836400, 1.825651
472, 3.097514, 2.262136, 2.760633, 1.707400, 1.729631
480, 5.555879, 2.963218, 2.838435, 1.850704, 1.814316
488, 3.789502, 2.480169, 2.779553, 1.711379, 1.708427
496, 5.589999, 2.922045, 2.832887, 1.841402, 1.825798
504, 4.705198, 2.777242, 2.775454, 1.783557, 1.773204
512, 9.915263, 5.090524, 4.903943, 2.678021, 2.683042
520, 5.175979, 2.894215, 2.795230, 1.767829, 1.898707
528, 5.616312, 2.958399, 2.858697, 1.867870, 1.946227
536, 5.290944, 2.908972, 2.782086, 1.795360, 1.781364
544, 5.589462, 3.047200, 2.914888, 1.865657, 1.860251
552, 5.348131, 3.003730, 2.808775, 1.819814, 1.812551
560, 5.652693, 3.105050, 2.920395, 1.926417, 1.939867
568, 5.443302, 3.060712, 2.875447, 1.900609, 1.871664
576, 7.226459, 4.650387, 3.553535, 2.238312, 2.241163
584, 5.431628, 2.998877, 2.880125, 1.920496, 1.896576
592, 5.694983, 3.151294, 2.993738, 2.005283, 1.981551
600, 5.443680, 3.126362, 2.915820, 1.981368, 1.972367
608, 5.677675, 3.342921, 3.106290, 2.092551, 2.066663
616, 5.532014, 3.275433, 2.998098, 2.056819, 2.039070
624, 5.729945, 3.370529, 3.052070, 2.165612, 2.160270
632, 5.512765, 3.350540, 3.055679, 2.182547, 2.126054
640, 9.120866, 6.339793, 4.070643, 2.972907, 2.958682
648, 5.556992, 3.279727, 3.151278, 2.237506, 2.238133
656, 5.811395, 3.502331, 3.253773, 2.412839, 2.358495
664, 5.629319, 3.498686, 3.298561, 2.418761, 2.388093
672, 5.909279, 4.171813, 3.581532, 2.659096, 2.634041
680, 5.697030, 3.701257, 3.472205, 2.643494, 2.611461
688, 5.913342, 4.036125, 3.556746, 2.757573, 2.759639
696, 5.928363, 4.026084, 3.629632, 2.829495, 2.808891
704, 8.151615, 7.193759, 4.783589, 3.797575, 3.796845
712, 5.770446, 3.728209, 3.766906, 2.964406, 2.937191
720, 6.201213, 4.103351, 3.924372, 3.186265, 3.176705
728, 5.955895, 4.188096, 4.019842, 3.226955, 3.226688
736, 6.242305, 5.150088, 4.506688, 3.620743, 4.110437
744, 6.060801, 4.518036, 4.188926, 3.485890, 3.817713
752, 6.316814, 4.676091, 4.358253, 3.649424, 3.907162
760, 6.172072, 4.744309, 4.433212, 3.749019, 3.859532
768, 11.581398, 10.884585, 6.191702, 5.821452, 5.965230
776, 5.998870, 4.423273, 4.485530, 3.887986, 3.927702
784, 6.381513, 4.915048, 4.651465, 4.082883, 4.068834
792, 6.304474, 5.154214, 4.698498, 4.092052, 4.122108
800, 7.105023, 6.788337, 5.545371, 4.761922, 4.746291
