length, serial, threads = 2, threads = 4
15, 174191, 607509, 1170570
20, 129076, 376620, 210780
25, 192299, 291189, 1158964
30, 274835, 309157, 224808
35, 372165, 353147, 1200304
40, 595868, 398178, 352033
45, 637367, 439147, 1365389
50, 772452, 512215, 639876
55, 979127, 586066, 1352821
60, 1218353, 678463, 485097
65, 1322118, 770199, 1541988
70, 1554614, 870295, 568263
75, 1851217, 1002100, 1446444
80, 2016515, 1145711, 655449
85, 2273956, 1254250, 1729821
90, 2659297, 1435140, 1583620
95, 2877011, 1656033, 1988967
100, 3277104, 1794215, 1006433
105, 3570097, 1893720, 2604994
110, 3822513, 2160268, 1202789
115, 4235943, 2263792, 2180640
120, 4755573, 2541122, 2622835
125, 4990989, 2728566, 3366508
130, 5357361, 2880259, 1627340
135, 5741959, 3087647, 2660152
140, 6211921, 3401328, 1887975
145, 6621973, 4120224, 4205536
150, 7082208, 4468859, 2133240
155, 7657316, 4733275, 4628226
160, 8139160, 5081875, 2605212
165, 8592984, 5492040, 5258807
170, 9207708, 6337834, 2724016
175, 9621057, 6691196, 3784076
180, 10120570, 7088258, 3025335
185, 10726969, 9307347, 4117321
190, 11279912, 9786337, 3330621
195, 11929616, 11540167, 4139915
200, 12570925, 12728071, 7052234
205, 13103966, 7084932, 7920181
210, 13761834, 7361267, 9323885
215, 14481950, 7765785, 5946905
220, 15212901, 8088923, 5004095
225, 15817945, 8526916, 5477209
230, 16583377, 8808152, 9156042
235, 17268026, 9219949, 9948273
240, 18190922, 9547809, 5216517
245, 18818450, 9950210, 6387957
250, 19575551, 10432138, 5828538
255, 20362950, 10916902, 6817911
260, 21271850, 11356397, 6120542
265, 21982292, 13524454, 7216554
270, 22736382, 14308054, 6575842
275, 23627518, 15759148, 10952731
280, 24420314, 21575959, 7103291
285, 25520255, 26536481, 11932693
290, 26404500, 13854233, 7574449
295, 27291166, 14396116, 8743688
300, 28070529, 14837084, 8094410
305, 29013928, 19324738, 9235972
310, 30041732, 23114719, 8715950
315, 31097306, 16472783, 12018762
320, 32032579, 16965646, 9317969
325, 33056769, 17447768, 10257969
330, 34109573, 18150595, 9739635
335, 35057230, 18508539, 10920773
340, 36212587, 24833958, 10381512
345, 37228303, 29071891, 11474966
350, 38699804, 31960395, 11041506
355, 39727453, 21673196, 12101723
360, 40693487, 21684399, 11523132
365, 42006430, 25114063, 12671518
370, 42963453, 31953374, 13717582
375, 44410631, 23265279, 14752827
380, 45467893, 24933881, 12796757
385, 46730124, 32788412, 14053840
390, 47845783, 35830720, 16462195
395, 49076691, 25690943, 14663809
400, 50234565, 29811109, 14306831
